,date,open,high,low,close,volume,average,barCount
2225,2022-08-31 12:35:25,3987.0,3987.25,3987.0,3987.25,33.0,3987.125,8
2226,2022-08-31 12:35:30,3987.25,3988.0,3987.0,3987.5,114.0,3987.65,48
2227,2022-08-31 12:35:35,3987.75,3988.0,3987.75,3988.0,42.0,3987.85,21
2228,2022-08-31 12:35:40,3987.75,3988.0,3987.75,3987.75,16.0,3987.775,11
2229,2022-08-31 12:35:45,3987.75,3988.0,3987.75,3988.0,16.0,3987.9,7
2230,2022-08-31 12:35:50,3988.0,3988.0,3987.25,3987.25,63.0,3987.425,23
2231,2022-08-31 12:35:55,3987.0,3987.0,3986.25,3986.25,149.0,3986.65,64
2232,2022-08-31 12:36:00,3986.5,3986.5,3985.5,3986.0,244.0,3986.025,94
2233,2022-08-31 12:36:05,3986.0,3986.5,3985.75,3986.0,126.0,3986.225,43
2234,2022-08-31 12:36:10,3986.0,3987.0,3986.0,3986.75,102.0,3986.45,39
2235,2022-08-31 12:36:15,3987.0,3987.0,3986.5,3986.5,78.0,3986.625,30
2236,2022-08-31 12:36:20,3986.25,3987.0,3986.25,3987.0,122.0,3986.725,36
2237,2022-08-31 12:36:25,3987.0,3987.5,3986.75,3987.5,46.0,3987.075,24
2238,2022-08-31 12:36:30,3987.5,3988.25,3987.5,3988.25,221.0,3987.9,74
2239,2022-08-31 12:36:35,3988.25,3988.25,3987.75,3988.0,121.0,3988.025,44
2240,2022-08-31 12:36:40,3988.0,3988.0,3987.0,3987.25,105.0,3987.65,40
2241,2022-08-31 12:36:45,3987.25,3987.75,3987.25,3987.75,57.0,3987.425,22
2242,2022-08-31 12:36:50,3987.75,3987.75,3986.5,3986.75,49.0,3986.95,23
2243,2022-08-31 12:36:55,3986.75,3987.0,3986.5,3986.5,64.0,3986.775,32
2244,2022-08-31 12:37:00,3986.75,3986.75,3986.25,3986.25,108.0,3986.475,47
2245,2022-08-31 12:37:05,3986.5,3986.5,3985.5,3985.5,122.0,3985.9,52
2246,2022-08-31 12:37:10,3985.5,3986.0,3985.0,3985.25,190.0,3985.35,77
2247,2022-08-31 12:37:15,3985.25,3985.75,3985.25,3985.5,323.0,3985.5,72
2248,2022-08-31 12:37:20,3985.5,3986.5,3985.5,3986.25,97.0,3986.025,40
2249,2022-08-31 12:37:25,3986.25,3987.0,3986.25,3986.5,150.0,3986.6,51
